build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"67b9b0e7f","10088","Intel(R) Core(TM) Ultra 5 225H","","CPU","C:\Users\abel.coronado\.ollama\models\blobs\sha256-1194192cf2a187eb02722edcc3f77b11d21f537048ce04b67ccf8ba78863006a","qwen3moe 30B.A3B Q4_K - Medium","18550716416","30532122624","2048","512","10","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-22T21:11:08Z","7644239750","651305803","67.222536","5.727506"
"67b9b0e7f","10088","Intel(R) Core(TM) Ultra 5 225H","","CPU","C:\Users\abel.coronado\.ollama\models\blobs\sha256-1194192cf2a187eb02722edcc3f77b11d21f537048ce04b67ccf8ba78863006a","qwen3moe 30B.A3B Q4_K - Medium","18550716416","30532122624","2048","512","10","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-22T21:11:33Z","8380619850","1405747867","15.491264","2.598473"
